id_processo,nome_reu,detalhe_atuacao
1000877-17.2025.8.26.0431,ITAU UNIBANCO HOLDING S.A.,Banco
1002895-96.2025.8.26.0047,Banco Santander Brasil SA,Banco
1018380-17.2024.8.26.0001,ITAPEVA XI MULTICARTEIRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Fundo de investimento em direitos creditórios
1002800-39.2025.8.26.0541,BANCO SANTANDER (BRASIL) S.A.,Banco
1002525-71.2025.8.26.0127,Nu Pagamentos S.A.,Instituição de Pagamento
1012579-83.2025.8.26.0002,Banco Inter S.A.,Banco
1017017-97.2024.8.26.0161,Ativos S/A - Securitizadora de Crédito Financeiros,Securitizadora de Crédito Financeiros
1003204-29.2025.8.26.0529,Banco Santander (Brasil) S/A,Banco
1010080-81.2025.8.26.0405,BANCO BRADESCARD S/A,Banco
1013645-78.2024.8.26.0020,Banco Panamericano S/A,Banco
1012265-11.2023.8.26.0099,Banco do Brasil S/A,Banco
1002671-32.2023.8.26.0338,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira
1014979-48.2024.8.26.0344,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1034703-40.2024.8.26.0602,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento em Direitos Creditórios
1002661-35.2024.8.26.0020,Ativos S.A. Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1000421-31.2025.8.26.0346,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira (Securitizadora de Créditos)
1002656-93.2024.8.26.0058,Banco do Brasil S/A,Banco
1007440-74.2024.8.26.0071,Fundo de Investimento em Direitos Creditórios Não Padronizados NPL II - FIDC,Fundo de Investimento em Direitos Creditórios
1005883-11.2024.8.26.0020,Itaú Unibanco S.A,Banco
1040148-56.2025.8.26.0100,"PORTOSEG S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",Instituição financeira
1012789-21.2023.8.26.0127,Pefisa Sa Credito Financiamento e Investimento,Banco
1008294-54.2025.8.26.0032,"Nu Financeira S/A - Sociedade de Crédito, Financiamento e Investimento","Sociedade de Crédito, Financiamento e Investimento"
1009999-09.2021.8.26.0071,Credz Admnistradora de Cartões de Creditos Ltda,Banco
1007137-55.2024.8.26.0590,Bulla Instituição de Pagamentos S.A,Instituição financeira
1000647-35.2025.8.26.0120,"Safra Crédito, Financiamento e Investimento S.a",Banco
1003189-61.2024.8.26.0152,Fundo de Investimento em Direitos Creditórios Não Padronizados NPL II,"Fundo de investimento em direitos creditórios, atuando na área financeira"
1019973-36.2024.8.26.0016,Banco do Brasil S/A,Banco
1000576-93.2025.8.26.0294,Banco Bradesco S/A,Banco
1040993-71.2024.8.26.0602,Ativos S/A - Securitizadora de Crédito Financeiros,Securitizadora de Crédito Financeiros
1004069-12.2024.8.26.0198,Cred - System Administradora de Cartões de Crédito LTDA,Administradora de Cartões de Crédito
1011443-23.2024.8.26.0152,Banco CSF S/A,Banco
1004476-46.2024.8.26.0609,BANCO SANTANDER ( BRASIL ) S/A,Banco
1047154-17.2025.8.26.0100,BANCO SANTANDER BRASIL S/A,Banco
1000435-83.2025.8.26.0097,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira (Securitizadora de Créditos)
1013416-93.2025.8.26.0405,FIDC MULTSEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,Fundo de investimento em direitos creditórios
1003299-16.2024.8.26.0587,Fundo de Investimento Em Direitos Creditórios Multsegmentos NPL Ipanema VI - Não Padronizado,Fundo de Investimento
1013197-80.2025.8.26.0405,BANCO BRADESCO S.A.,Banco
1000791-65.2025.8.26.0457,DESENVOLVE SP -AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO,"Agência de fomento, instituição financeira"
1003113-97.2021.8.26.0360,Banco Santander (Brasil) S/A,Banco
1019660-63.2024.8.26.0020,Ativos S.A. Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1062877-74.2023.8.26.0576,Iresolve Companhia Securitizadora de Créditos Financeiros S.A.,Companhia Securitizadora de Créditos Financeiros
1096762-81.2025.8.26.0100,Restart Fundo de Investimento Em Direitos Creditorios Responsabilidade Limitada,Fundo de Investimento
1016446-39.2025.8.26.0405,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira
1006073-06.2024.8.26.0268,Banco do Brasil S/A.,Banco
1026351-71.2024.8.26.0577,Fundo de Investimento em Direitos Creditórios Não-Padronizados NPL I,Fundo de Investimento em Direitos Creditórios
1130803-11.2024.8.26.0100,FIDC MULTISEGMENTOS NPL IPANEMA VI RESPONSABILIDADE LIMITADA,Fundo de Investimento em Direitos Creditórios (instituição financeira)
1001067-11.2025.8.26.0356,BANCO BMG S/A,Banco
1034853-41.2025.8.26.0002,Santander Brasil Administradora de Consórcio Ltda,Administradora de Consórcio
1002809-27.2025.8.26.0597,Ativos S.A. Securitizadora de Créditos Financeiros,Instituição financeira
1027285-45.2023.8.26.0001,"Nu Financeira S/A - Sociedade de Crédito, Financiamento e Investimento","Sociedade de Crédito, Financiamento e Investimento"
1031784-48.2024.8.26.0224,Banco Santander Brasil Sa,Banco
1010213-62.2025.8.26.0005,BANCO ITAÚ UNIBANCO S.A.,Banco
1012359-92.2025.8.26.0032,BANCO BRADESCARD S/A,Banco
1017487-13.2025.8.26.0576,Banco Santander (Brasil) S.A.,Banco
1015134-89.2024.8.26.0590,Nu Pagamentos S.a.,Instituição de Pagamento
1002875-24.2025.8.26.0268,Ativos S.A. Securitizadora de Créditos Financeiros,Securitizadora de Créditos Financeiros
1003989-39.2024.8.26.0201,MERCADOPAGO INSTITUICAO DE PAGAMENTO LTDA,Instituição de pagamento
1008837-50.2025.8.26.0002,Liftcred Securitizadora de Creditos Financeiros S.a,Instituição financeira
